TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.05,18.6,371.5,9.69E+11,1847.9,7.71,7.64,222,202,0.241,0.114,0.663,0.571,0.017,0.016,2.56,2.80,284.5,159.4
0.06,18.8,312.6,1.15E+12,1956.5,7.53,7.59,148,0.11,0.256,0.110,0.329,0.209,0.015,0.012,4.56,5.75,202.9,204.2
0.05,18.3,366.6,9.82E+11,2068.0,7.45,7.28,184,172,0.266,0.100,0.466,0.500,0.012,0.016,2.58,3.20,77.8,256.9
0.04,18.3,456.8,7.88E+11,2177.9,7.54,7.4,138,144,0.186,0.094,0.408,0.710,0.014,0.013,3.43,1.83,204.2,181.8
0.04,18.3,456.8,7.88E+11,2288.2,7.45,7.3,152,134,0.208,0.096,1.112,1.150,0.012,0.017,1.08,1.48,372.7,143.6
0.04,18.1,452.3,7.96E+11,2397.5,7.54,7.41,174,158,0.193,0.067,1.030,1.575,0.016,0.014,1.55,0.89,329.3,183.1
0.04,18.6,465.8,7.73E+11,2509.1,7.5,7.35,180,178,0.178,0.070,1.165,1.457,0.023,0.016,1.97,1.10,305.6,238.4
0.04,18.1,452.3,7.96E+11,2619.4,7.37,7.23,192,184,0.294,0.065,0.902,1.063,0.015,0.019,1.66,1.79,275.3,264.8
0.04,18.4,459.8,7.83E+11,2729.4,7.62,7.37,178,174,0.343,0.092,1.104,1.061,0.012,0.010,1.09,0.94,177.9,176.1
0.04,19.1,477.9,7.53E+11,2839.9,7.74,7.42,172,190,0.414,0.090,1.199,1.364,0.011,0.011,0.92,0.81,259.5,205.5
0.04,18.5,461.3,7.80E+11,2952.2,7.25,7.41,210,196,0.171,0.075,1.240,1.289,0.011,0.010,0.89,0.78,342.4,241.1
0.04,18.6,465.8,7.73E+11,3064.4,7.26,7.41,164,186,0.267,0.064,1.280,1.214,0.014,0.014,1.09,1.15,331.9,148.5
0.04,17.8,444.7,8.09E+11,3173.8,7.73,7.32,162,194,0.244,0.090,1.090,1.458,0.008,0.007,0.73,0.48,248.9,347.7
0.04,18.2,455.3,7.91E+11,3283.1,7.5,7.32,212,194,0.219,0.083,1.286,0.985,0.012,0.012,0.93,1.22,196.3,408.3
0.05,18.6,371.5,9.69E+11,3394.0,6.84,7.23,170,184,0.310,0.101,1.077,1.400,0.011,0.008,1.02,0.57,195.0,121.2
0.04,19.1,476.4,7.56E+11,3504.7,7.65,7.17,184,188,0.820,0.070,1.560,1.903,0.016,0.014,1.03,0.74,193.7,252.9
0.04,17.9,447.7,8.04E+11,3613.1,7.27,7.18,146,164,0.190,0.079,1.229,1.089,0.012,0.014,0.98,1.29,100.2,188.4
0.05,18.2,363.0,9.92E+11,3723.0,7.22,7.12,164,170,0.207,0.109,1.207,1.089,0.015,0.011,1.24,1.01,117.3,233.2
0.04,18.0,450.8,7.99E+11,3832.9,7.14,7.1,170,158,0.637,0.070,1.230,1.332,0.010,0.008,0.81,0.60,281.9,158.1
0.05,18.6,371.5,9.69E+11,3940.9,6.96,7.17,168,172,0.200,0.076,0.420,0.398,0.009,0.013,2.14,3.27,949.4,242.4
0.05,19.2,384.7,9.36E+11,4052.4,7.16,7.05,198,198,0.168,0.072,0.623,0.315,0.012,0.012,1.93,3.81,248.9,91.0
0.05,18.3,366.6,9.82E+11,4162.3,7.43,7.12,178,220,0.235,0.086,0.363,0.549,0.012,0.013,3.31,2.37,238.4,92.3
0.05,19.0,379.9,9.48E+11,4270.5,7.18,6.82,132,136,0.229,0.070,0.995,0.958,0.011,0.012,1.11,1.25,597.8,91.0
0.05,19.1,382.3,9.42E+11,4381.9,6.9,6.67,142,146,0.190,0.073,1.067,0.794,0.016,0.012,1.50,1.51,248.9,34.4
0.06,18.8,313.6,1.15E+12,4492.6,7.17,7.01,136,146,0.195,0.085,0.952,1.092,0.013,0.015,1.37,1.37,234.5,72.5
0.07,18.7,267.0,1.35E+12,4602.5,7.14,7.04,160,162,0.247,0.133,0.848,0.872,0.014,0.016,1.65,1.84,266.1,66.0
0.06,18.5,307.5,1.17E+12,4711.4,7.24,7.15,146,142,0.143,0.085,1.427,0.897,0.015,0.015,1.05,1.67,156.8,85.7
0.06,18.1,301.5,1.19E+12,4819.0,7.33,6.76,150,148,1.100,0.106,1.177,0.960,0.013,0.015,1.10,1.56,292.4,135.7
0.06,17.8,296.5,1.21E+12,4927.9,7.47,6.89,150,130,1.600,0.102,1.581,1.222,0.015,0.015,0.95,1.23,285.8,60.6
0.09,18.5,205.0,1.76E+12,5036.6,6.92,6.67,126,146,0.205,0.078,1.201,0.942,0.017,0.015,1.42,1.59,223.9,55.4
0.07,18.1,258.4,1.39E+12,5145.9,7.13,6.85,180,166,0.205,0.071,1.489,1.329,0.016,0.014,1.07,1.05,119.9,44.8
0.08,18.1,226.1,1.59E+12,5254.7,7.08,6.74,160,160,0.204,0.072,1.372,1.546,0.014,0.016,1.02,1.03,171.3,43.6
0.08,18.3,228.4,1.58E+12,5364.4,7.24,6.87,136,150,0.221,0.066,1.217,0.985,0.014,0.011,1.15,1.12,245.0,31.7
0.09,18.6,206.4,1.74E+12,5474.1,7.12,6.89,158,146,0.229,0.116,1.689,1.138,0.012,0.011,0.71,0.97,433.3,23.8
0.1,17.9,179.1,2.01E+12,5563.3,7.42,7.19,144,140,0.237,0.089,1.464,1.350,0.015,0.011,1.02,0.81,312.1,8.0
0.12,18.2,151.8,2.37E+12,5671.6,7.22,6.85,138,126,0.386,0.075,1.886,1.464,0.017,0.011,0.90,0.75,234.5,63.2
0.09,18.0,200.3,1.80E+12,5780.5,7.43,6.76,158,144,0.404,0.690,1.404,1.250,0.013,0.013,0.93,1.04,383.2,27.8
0.09,18.3,203.0,1.77E+12,5888.7,7.23,6.88,158,150,0.277,0.102,1.310,1.243,0.012,0.013,0.92,1.05,277.9,25.1
0.09,18.0,199.7,1.80E+12,5996.7,7.1,6.88,166,152,0.275,0.146,1.376,1.337,0.012,0.014,0.87,1.05,363.5,58.1
0.1,18.3,182.7,1.97E+12,6105.0,7.28,6.78,184,180,0.287,0.076,1.959,1.224,0.014,0.015,0.71,1.23,404.3,6.6
0.09,18.1,201.0,1.79E+12,6213.0,7.25,7.01,182,180,0.165,0.065,1.281,1.109,0.015,0.013,1.17,1.17,272.6,56.6
0.08,17.7,221.6,1.62E+12,6321.7,7.47,6.89,206,210,0.747,0.068,1.415,1.414,0.015,0.014,1.06,0.99,277.9,6.7
0.08,18.3,228.4,1.58E+12,6431.0,7.58,7.14,200,192,0.288,0.071,1.813,1.089,0.015,0.012,0.83,1.10,403.0,69.9
0.08,18.2,226.9,1.59E+12,6541.9,7.51,6.75,190,180,0.546,0.097,1.380,1.094,0.018,0.014,1.30,1.28,318.7,42.1
0.09,18.3,203.7,1.77E+12,6651.9,7.3,6.64,180,184,0.574,0.067,1.176,0.941,0.012,0.012,1.02,1.28,349.0,84.4
0.09,17.7,196.3,1.83E+12,6761.5,7.86,7.19,184,170,0.351,0.074,1.255,1.009,0.017,0.013,1.35,1.29,306.9,59.3
0.09,17.6,195.6,1.84E+12,6867.8,7.46,7.06,180,172,0.225,0.076,1.555,0.858,0.014,0.017,0.90,1.98,247.6,66.0
0.1,18.6,185.7,1.94E+12,6977.8,7.61,7,170,178,0.725,0.096,1.103,0.989,0.010,0.015,0.91,1.52,354.3,4.5
0.11,18.5,168.3,2.14E+12,7088.5,7.47,7.08,170,168,0.324,0.062,1.141,0.914,0.013,0.014,1.14,1.53,317.4,19.8
0.12,19.1,158.8,2.27E+12,7199.2,7.41,7.03,178,170,0.188,0.147,1.346,0.992,0.012,0.017,0.89,1.71,241.0,69.8
0.14,19.1,136.5,2.64E+12,7312.3,7.54,6.98,178,170,0.900,0.079,1.518,1.200,0.012,0.012,0.79,1.00,235.8,73.9
0.12,19.0,158.3,2.27E+12,7424.6,7.76,7.17,170,166,0.320,0.070,1.414,1.104,0.017,0.011,1.20,1.00,360.9,30.4
0.12,18.8,156.8,2.30E+12,7537.8,7.67,7.24,166,174,0.715,0.097,1.322,1.059,0.008,0.010,0.61,0.94,430.6,59.4
0.11,19.0,172.7,2.08E+12,7649.8,7.58,7.14,168,158,0.372,0.071,1.581,1.634,0.010,0.009,0.63,0.55,326.6,46.1
0.13,19.3,148.4,2.43E+12,7763.4,7.76,7.2,170,162,0.227,0.056,0.722,0.901,0.007,0.007,0.97,0.78,291.1,17.1
0.13,18.6,143.3,2.51E+12,7877.1,7.77,7.22,160,162,0.764,0.106,0.948,0.729,0.006,0.007,0.63,0.96,175.2,64.5

