TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.07,42.81818182,611.6883117,5.88535E+11,1408.968,7.34,7.45,180,180,0.226,0.115,0.4868,0.6202,0.016,0.017,3.286770748,2.741051274,288.4465399,313.46
0.07,39.13636364,559.0909091,6.43902E+11,1512.54,7.68,7.5,198,184,0.256,0.126,0.6946,0.3186,0.017,0.012,2.447451771,3.766478343,281.8636744,185.75
0.1,41.45454545,414.5454545,8.68421E+11,1617.732,7.47,7.36,142,178,0.169,0.056,0.659,0.4344,0.015,0.015,2.276176024,3.453038674,318.7277215,243.68
0.07,40.77272727,582.4675325,6.1806E+11,1727.748,7.76,7.53,246,220,0.2,0.101,0.8017,0.5097,0.019,0.016,2.369963827,3.139101432,277.9139551,239.73
0.07,40.22727273,446.969697,8.05424E+11,1837.26,7.71,7.69,222,192,0.241,0.112,0.663,0.4584,0.017,0.013,2.564102564,2.835951134,284.4968206,322.68
0.09,40.36363636,504.5454545,7.13514E+11,1947.708,7.53,7.58,148,178,0.256,0.1,0.3287,0.2924,0.015,0.012,4.563431701,4.103967168,202.8692878,209.45
0.09,42,466.6666667,7.71429E+11,2051.676,7.45,7.25,184,186,0.266,0.093,0.4656,0.6379,0.012,0.018,2.577319588,2.821758896,77.79484225,176.54
0.13,40.90909091,314.6853147,1.144E+12,2162.484,7.54,7.43,138,170,0.186,0.072,0.4079,0.4422,0.014,0.013,3.432213778,2.939846223,204.1858609,164.69
0.11,42.27272727,384.2975207,9.36774E+11,2270.556,7.45,7.36,152,152,0.208,0.08,1.112,1.254,0.012,0.013,1.079136691,1.036682616,372.707219,222.62
0.1,42.95454545,429.5454545,8.38095E+11,2381.436,7.54,7.38,174,182,0.193,0.062,1.03,1.522,0.016,0.013,1.553398058,0.85413929,329.2603064,276.60
0.1,41.31818182,413.1818182,8.71287E+11,2492.316,7.5,7.35,180,194,0.178,0.063,1.165,1.509,0.023,0.015,1.974248927,0.994035785,305.5619904,296.35
0.11,37.90909091,344.6280992,1.0446E+12,2598.156,7.37,7.26,192,182,0.294,0.075,0.9023,0.9942,0.015,0.015,1.662418264,1.508750754,275.2808088,173.90
0.12,43.63636364,363.6363636,9.9E+11,2711.916,7.62,7.38,178,166,0.343,0.082,1.104,1.326,0.012,0.01,1.086956522,0.754147813,177.8543987,181.80
0.12,44.31818182,369.3181818,9.74769E+11,2824.524,7.74,7.36,172,186,0.414,0.084,1.199,1.362,0.011,0.011,0.917431193,0.80763583,259.4819315,196.29
0.11,40.5,368.1818182,9.77778E+11,2935.476,7.25,7.35,210,190,0.171,0.069,1.2395,1.234,0.011,190,0.887454619,0.729335494,342.4260375,272.65
0.13,38.59090909,296.8531469,1.21272E+12,3045.78,7.26,7.26,164,184,0.267,0.064,1.28,1.106,0.014,0.012,1.09375,1.084990958,331.8934526,172.59
0.15,45.54545455,303.6363636,1.18563E+12,3157.164,7.73,7.23,162,176,0.244,0.089,1.09,1.144,0.008,0.006,0.733944954,0.524475524,248.9493466,306.88
0.14,38.72727273,276.6233766,1.30141E+12,3264.012,7.5,7.27,212,202,0.219,0.101,1.286,0.9726,0.012,0.012,0.933125972,1.233806292,196.2864222,503.05
0.13,39.95454545,307.3426573,1.17133E+12,3375.684,6.84,7.05,170,182,0.31,0.059,1.077,1.667,0.011,0.01,1.021355617,0.599880024,194.9698491,75.16
0.13,41.31818182,317.8321678,1.13267E+12,3486.636,7.65,7.12,184,178,0.82,0.058,1.56,1.8,0.016,0.013,1.025641026,0.722222222,193.653276,366.12
0.16,44.45454545,277.8409091,1.29571E+12,3600.468,7.27,7.02,146,158,0.19,0.061,1.229,0.846,0.012,0.011,0.97640358,1.300236407,100.1765851,97.54
0.16,43.09090909,269.3181818,1.33671E+12,3709.62,7.22,7.23,164,170,0.207,0.101,1.207,1.049,0.015,0.011,1.242750621,1.048617731,117.2920356,147.57
0.16,42.13636364,263.3522727,1.36699E+12,3817.26,7.14,7.2,170,146,0.637,0.086,1.23,1.213,0.01,0.006,0.81300813,0.494641385,281.8636744,52.78
0.17,42.95454545,252.6737968,1.42476E+12,3929.58,6.96,7.08,168,178,0.2,0.059,0.4197,0.3842,0.009,0.013,2.144388849,3.383654347,949.3662415,322.68
0.16,41.59090909,259.9431818,1.38492E+12,4040.316,7.16,6.95,198,188,0.168,0.127,0.6225,0.4273,0.012,0.011,1.927710843,2.574303768,248.9493466,26.45
0.16,41.18181818,257.3863636,1.39868E+12,4151.7,7.43,7.08,178,200,0.235,0.071,0.3628,0.4315,0.012,0.012,3.307607497,2.780996524,238.4167617,98.86
0.17,43.5,255.8823529,1.4069E+12,4265.064,7.18,6.78,132,154,0.229,0.071,0.9945,1.052,0.011,0.013,1.106083459,1.235741445,597.8412209,69.90
0.16,40.90909091,255.6818182,1.408E+12,4374.504,6.9,6.65,142,132,0.19,0.061,1.067,0.9412,0.016,0.012,1.499531396,1.274968126,248.9493466,243.68
0.17,41.45454545,243.8502674,1.47632E+12,4484.304,7.17,6.92,136,140,0.195,0.121,0.9516,1.197,0.013,0.016,1.366120219,1.336675021,234.4670424,34.35
0.18,41.72727273,231.8181818,1.55294E+12,4596.624,7.14,6.97,160,160,0.247,0.08,0.8479,0.9507,0.014,0.017,1.651138106,1.788156096,266.0647971,202.87
0.2,41.04545455,205.2272727,1.75415E+12,4706.424,7.24,7.16,146,150,0.143,0.059,1.427,0.904,0.015,0.015,1.051156272,1.659292035,156.7892289,23.82
0.17,40.63636364,239.0374332,1.50604E+12,4817.592,7.33,6.8,150,142,1.1,0.095,1.177,1.348,0.013,0.015,1.104502974,1.112759644,292.3962593,233.15
0.17,41.86363636,246.2566845,1.46189E+12,4928.184,7.47,6.89,150,140,1.6,0.075,1.581,0.9871,0.015,0.013,0.948766603,1.31698916,285.8133937,64.51
0.18,42.68181818,237.1212121,1.51821E+12,5038.416,6.92,6.72,126,148,0.205,0.077,1.201,0.9308,0.017,0.015,1.415487094,1.611516975,223.9344575,123.87
0.19,41.86363636,220.3349282,1.63388E+12,5149.008,7.13,6.85,180,164,0.205,0.121,1.489,1.296,0.016,0.013,1.074546676,1.00308642,119.9251818,47.51
0.19,40.36363636,212.4401914,1.69459E+12,5259.168,7.08,6.67,160,162,0.204,0.079,1.372,1.279,0.014,0.014,1.020408163,1.09460516,171.2715331,85.69
0.21,41.18181818,196.1038961,1.83576E+12,5369.544,7.24,6.84,136,144,0.221,0.105,1.217,0.9544,0.014,0.011,1.150369762,1.15255658,244.9996273,58.05
0.22,41.59090909,189.0495868,1.90426E+12,5480.136,7.12,6.82,158,154,0.229,0.103,1.689,1.273,0.012,0.012,0.710479574,0.942655145,433.2695821,27.77
0.23,41.31818182,179.6442688,2.00396E+12,5589.072,7.42,7.15,144,142,0.237,0.1,1.464,1.429,0.015,0.011,1.024590164,0.769769069,312.1448559,63.20
0.24,38.31818182,159.6590909,2.2548E+12,5694.912,7.22,6.86,138,126,0.386,0.08,1.886,1.205,0.017,0.009,0.901378579,0.746887967,234.4670424,56.73
0.26,43.36363636,166.7832168,2.15849E+12,5806.8,7.43,6.76,158,136,0.404,0.07,1.404,1.266,0.013,0.013,0.925925926,1.02685624,383.2398039,4.07
0.26,41.31818182,158.9160839,2.26535E+12,5914.944,7.23,6.86,158,154,0.277,0.102,1.31,1.241,0.012,0.014,0.916030534,1.128122482,277.9139551,93.59
0.26,39.54545455,152.0979021,2.3669E+12,6022.872,7.1,6.89,166,166,0.275,0.124,1.376,1.192,0.012,0.016,0.872093023,1.342281879,363.4912073,56.61
0.28,42.27272727,150.974026,2.38452E+12,6133.536,7.28,6.8,184,174,0.287,0.133,1.959,0.9837,0.014,0.014,0.714650332,1.42319813,404.3049737,69.78
0.25,41.31818182,165.2727273,2.17822E+12,6243.408,7.25,7.05,182,180,0.165,0.093,1.281,1.197,0.015,0.012,1.170960187,1.002506266,272.6476626,60.56
0.27,42.54545455,157.5757576,2.28462E+12,6355.296,7.47,6.95,206,188,0.747,0.069,1.415,1.37,0.015,0.014,1.060070671,1.02189781,277.9139551,40.81
0.27,41.04545455,152.020202,2.36811E+12,6464.52,7.58,7.12,200,192,0.288,0.067,1.813,1.108,0.015,0.012,0.82735797,1.083032491,402.9884006,13.28
0.3,42.68181818,142.2727273,2.53035E+12,6573.96,7.51,6.81,190,180,0.546,0.089,1.38,1.254,0.018,0.014,1.304347826,1.116427432,318.7277215,15.92
0.31,42.13636364,135.9237537,2.64854E+12,6684.264,7.3,6.72,180,178,0.574,0.067,1.176,0.9171,0.012,0.013,1.020408163,1.417511722,349.008903,6.70
0.31,41.59090909,134.1642229,2.68328E+12,6792.912,7.86,7.25,184,172,0.351,0.07,1.255,1.052,0.017,0.013,1.354581673,1.235741445,306.8785635,42.25
0.33,43.5,131.8181818,2.73103E+12,6904.872,7.46,7.08,180,170,0.225,0.161,1.555,1.366,0.014,0.013,0.900321543,0.951683748,247.6327735,69.78
0.35,44.18181818,126.2337662,2.85185E+12,7015.032,7.61,6.99,170,168,0.725,0.093,1.103,1.225,0.01,0.016,0.906618314,1.306122449,354.2751955,162.06
0.29,42.54545455,146.7084639,2.45385E+12,7128.792,7.47,7.09,170,168,0.324,0.122,1.141,1.04,0.013,0.014,1.139351446,1.346153846,317.4111484,62.00
0.31,45.13636364,145.601173,2.47251E+12,7245.432,7.41,6.99,178,172,0.188,0.092,1.346,0.9361,0.012,0.016,0.891530461,1.709219101,241.049908,34.35
0.3,42,140,2.57143E+12,7360.56,7.54,7.07,178,170,0.9,0.077,1.518,0.9905,0.012,0.012,0.790513834,1.211509339,235.7836155,34.35
0.32,44.86363636,140.1988636,2.56778E+12,7476.336,7.76,7.19,170,154,0.32,0.07,1.414,1.093,0.017,0.011,1.202263083,1.006404392,360.858061,71.09
0.35,45,128.5714286,2.8E+12,7593.12,7.67,7.27,166,172,0.715,0.062,1.322,0.8903,0.008,0.009,0.605143722,1.010895204,430.6364359,46.20
0.35,42.27272727,120.7792208,2.98065E+12,7705.512,7.58,7.13,168,156,0.372,0.073,1.581,1.605,0.01,0.009,0.632511069,0.560747664,326.6271602,44.76
0.39,42.13636364,108.041958,3.33204E+12,7818.408,7.76,7.19,170,162,0.227,0.108,0.7224,0.7764,0.007,0.007,0.968992248,0.901597115,291.0796862,71.09
0.38,41.31818182,108.7320574,3.31089E+12,7929.432,7.77,7.27,160,164,0.764,0.092,0.9483,0.9725,0.006,0.009,0.632711167,0.925449871,175.2212524,125.19

