TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.05,28.24615385,564.9230769,6.37255E+11,1183.32,7.61,7.42,170,180,0.274,0.111,0.2127,0.1876,0.012,0.013,5.641748942,0.97,224.7244014,256.85
0.05,29.44615385,588.9230769,6.11285E+11,1294.704,7.68,7.71,166,166,0.313,0.126,1.809,0.6842,0.023,0.015,1.271420674,1.06,354.2751955,212.09
0.05,29.07692308,581.5384615,6.19048E+11,1406.088,7.34,7.41,180,186,0.226,0.112,0.4868,0.519,0.016,0.015,3.286770748,0.78,288.4465399,256.85
0.03,28.70769231,956.9230769,3.76206E+11,1518.228,7.68,7.45,198,180,0.256,0.108,0.6946,0.3972,0.017,0.013,2.447451771,0.89,281.8636744,238.42
0.06,28.61538462,476.9230769,7.54839E+11,1628.532,7.47,7.33,142,192,0.169,0.059,0.659,0.682,0.015,0.015,2.276176024,0.59,318.7277215,64.63
0.07,27.23076923,389.010989,9.25424E+11,1738.332,7.76,7.51,246,230,0.2,0.107,0.8017,0.5957,0.019,0.02,2.369963827,0.73,277.9139551,305.56
0.06,27.69230769,461.5384615,7.8E+11,1848.06,7.71,7.68,222,214,0.241,0.106,0.663,0.3741,0.017,0.014,2.564102564,0.87,284.4968206,198.92
0.06,28.15384615,469.2307692,7.67213E+11,1959.012,7.53,7.52,148,158,0.256,0.097,0.3287,0.2963,0.015,0.014,4.563431701,0.91,202.8692878,191.02
0.06,28.8,480,7.5E+11,2067.66,7.45,7.26,184,184,0.266,0.073,0.4656,0.2005,0.012,0.013,2.577319588,0.92,77.79484225,162.06
0.07,27.78461538,396.9230769,9.06977E+11,2177.244,7.54,7.42,138,132,0.186,0.078,0.4079,0.4313,0.014,0.011,3.432213778,0.67,204.1858609,316.09
0.07,28.61538462,408.7912088,8.80645E+11,2286.468,7.45,7.25,152,160,0.208,0.08,1.112,1.397,0.012,0.012,1.079136691,0.73,372.707219,484.62
0.07,29.26153846,418.021978,8.61199E+11,2398.716,7.54,7.4,174,184,0.193,0.065,1.03,1.788,0.016,0.013,1.553398058,0.66,329.2603064,285.81
0.05,27.69230769,553.8461538,6.5E+11,2509.524,7.5,7.28,180,182,0.178,0.072,1.165,1.299,0.023,0.017,1.974248927,0.64,305.5619904,171.27
0.08,26.03076923,325.3846154,1.10638E+12,2617.452,7.37,7.17,192,170,0.294,0.082,0.9023,0.9596,0.015,0.016,1.662418264,1.13,275.2808088,109.39
0.09,28.98461538,322.0512821,1.11783E+12,2731.356,7.62,7.34,178,180,0.343,0.088,1.104,0.9326,0.012,0.009,1.086956522,1.18,177.8543987,143.92
0.08,30,375,9.6E+11,2843.1,7.74,7.45,172,160,0.414,0.082,1.199,1.267,0.011,0.082,0.917431193,1.38,259.4819315,238.42
0.08,28.8,360,1E+12,2954.988,7.25,7.32,210,160,0.171,0.079,1.2395,1.12755,0.011,0.013,0.887454619,0.59,342.4260375,247.63
0.06,27.32307692,455.3846154,7.90541E+11,3064.5,7.26,7.36,164,180,0.267,0.075,1.28,0.9881,0.014,0.014,1.09375,0.98,331.8934526,121.24
0.08,29.90769231,373.8461538,9.62963E+11,3175.164,7.73,7.28,162,174,0.244,0.068,1.09,1.205,0.008,0.007,0.733944954,0.82,248.9493466,185.75
0.09,26.49230769,294.3589744,1.223E+12,3287.34,7.5,7.3,212,200,0.219,0.111,1.286,0.9471,0.012,0.011,0.933125972,0.83,196.2864222,231.83
0.11,28.43076923,258.4615385,1.39286E+12,3401.172,6.84,7.12,170,186,0.31,0.073,1.077,1.195,0.011,0.007,1.021355617,1.09,194.9698491,36.98
0.09,27.87692308,309.7435897,1.16225E+12,3512.988,7.65,7.1,184,184,0.82,0.079,1.56,1.612,0.016,0.011,1.025641026,2.94,193.653276,64.51
0.08,29.63076923,370.3846154,9.71963E+11,3624.444,7.27,7.11,146,160,0.19,0.075,1.229,1.063,0.012,0.014,0.97640358,0.64,100.1765851,130.46
0.09,29.81538462,331.2820513,1.08669E+12,3737.124,7.22,7.22,164,160,0.207,0.087,1.207,1.088,0.015,0.012,1.242750621,0.69,117.2920356,138.36
0.08,26.76923077,334.6153846,1.07586E+12,3846.132,7.14,7.12,170,152,0.637,0.068,1.23,1.223,0.01,0.007,0.81300813,2.38,281.8636744,15.92
0.09,28.33846154,314.8717949,1.14332E+12,3957.012,6.96,7.15,168,176,0.2,0.075,0.4197,0.3073,0.009,0.011,2.144388849,0.71,949.3662415,64.51
0.12,27.87692308,232.3076923,1.54967E+12,4068.828,7.16,7.04,198,194,0.168,0.063,0.6225,0.7428,0.012,0.01,1.927710843,0.60,248.9493466,65.95
0.09,27.96923077,310.7692308,1.15842E+12,4177.476,7.43,7.1,178,192,0.235,0.139,0.3628,0.5331,0.012,0.011,3.307607497,0.84,238.4167617,56.73
0.09,27.78461538,308.7179487,1.16611E+12,4286.088,7.18,6.72,132,160,0.229,0.08,0.9945,1.03,0.011,0.014,1.106083459,0.82,597.8412209,81.63
0.08,28.06153846,350.7692308,1.02632E+12,4395.096,6.9,6.61,142,146,0.19,0.075,1.067,0.924,0.016,0.014,1.499531396,0.68,248.9493466,8.02
0.09,27.96923077,310.7692308,1.15842E+12,4504.176,7.17,6.96,136,142,0.195,0.09,0.9516,1.103,0.013,0.015,1.366120219,0.70,234.4670424,40.81
0.13,28.06153846,215.8579882,1.66776E+12,4614.048,7.14,7.02,160,162,0.247,0.065,0.8479,0.9248,0.014,0.016,1.651138106,0.88,266.0647971,44.88
0.11,27.87692308,253.4265734,1.42053E+12,4722.732,7.24,7.14,146,144,0.143,0.064,1.427,0.7305,0.015,0.015,1.051156272,0.51,156.7892289,65.83
0.09,27.78461538,308.7179487,1.16611E+12,4832.82,7.33,6.7,150,144,1.1,0.085,1.177,1.031,0.013,0.015,1.104502974,3.96,292.3962593,17.23
0.1,27.78461538,277.8461538,1.29568E+12,4942.404,7.47,6.84,150,140,1.6,0.144,1.581,0.9775,0.015,0.014,0.948766603,5.76,285.8133937,67.15
0.1,28.33846154,283.3846154,1.27036E+12,5052.204,6.92,6.71,126,150,0.205,0.074,1.201,0.9796,0.017,0.015,1.415487094,0.72,223.9344575,50.15
0.1,28.15384615,281.5384615,1.27869E+12,5162.364,7.13,6.8,180,168,0.205,0.071,1.489,1.108,0.016,0.013,1.074546676,0.73,119.9251818,0.12
0.11,27.78461538,252.5874126,1.42525E+12,5272.524,7.08,6.65,160,158,0.204,0.082,1.372,1.381,0.014,0.014,1.020408163,0.73,171.2715331,31.71
0.11,27.96923077,254.2657343,1.41584E+12,5382.972,7.24,6.85,136,148,0.221,0.084,1.217,0.9905,0.014,0.01,1.150369762,0.79,244.9996273,75.16
0.12,28.15384615,234.6153846,1.53443E+12,5493.564,7.12,6.83,158,150,0.229,0.099,1.689,1.274,0.012,0.011,0.710479574,0.81,433.2695821,10.65
0.13,28.15384615,216.5680473,1.6623E+12,5603.724,7.42,7.13,144,138,0.237,0.086,1.464,1.278,0.015,0.01,1.024590164,0.84,312.1448559,64.63
0.13,27.69230769,213.0177515,1.69E+12,5713.02,7.22,6.86,138,128,0.386,0.079,1.886,1.171,0.017,0.01,0.901378579,1.39,234.4670424,55.41
0.14,28.43076923,203.0769231,1.77273E+12,5823.108,7.43,6.75,158,142,0.404,0.91,1.404,1.353,0.013,0.012,0.925925926,1.42,383.2398039,164.69
0.14,28.06153846,200.4395604,1.79605E+12,5932.332,7.23,6.88,158,158,0.277,0.092,1.31,1.235,0.012,0.013,0.916030534,0.99,277.9139551,76.48
0.15,27.50769231,183.3846154,1.96309E+12,6041.484,7.1,6.89,166,164,0.275,0.164,1.376,1.279,0.012,0.014,0.872093023,1.00,363.4912073,33.03
0.15,28.70769231,191.3846154,1.88103E+12,6152.364,7.28,6.73,184,180,0.287,0.141,1.959,1.055,0.014,0.015,0.714650332,1.00,404.3049737,13.28
0.15,28.61538462,190.7692308,1.8871E+12,6263.244,7.25,7.04,182,186,0.165,0.082,1.281,1.265,0.015,0.012,1.170960187,0.58,272.6476626,77.68
0.16,28.61538462,178.8461538,2.0129E+12,6374.484,7.47,6.85,206,204,0.747,0.064,1.415,1.227,0.015,0.015,1.060070671,2.61,277.9139551,71.09
0.16,28.06153846,175.3846154,2.05263E+12,6484.788,7.58,7.12,200,192,0.288,0.077,1.813,1.488,0.015,0.012,0.82735797,1.03,402.9884006,17.23
0.18,28.8,160,2.25E+12,6595.956,7.51,6.74,190,176,0.546,0.08,1.38,1.078,0.018,0.013,1.304347826,1.90,318.7277215,35.66
0.18,28.61538462,158.974359,2.26452E+12,6708.204,7.3,6.68,180,182,0.574,0.073,1.176,0.844,0.012,0.012,1.020408163,2.01,349.008903,68.75
0.2,28.70769231,143.5384615,2.50804E+12,6818.868,7.86,7.23,184,162,0.351,0.078,1.255,1.162,0.017,0.013,1.354581673,1.22,306.8785635,55.30
0.2,29.07692308,145.3846154,2.47619E+12,6931.692,7.46,7.03,180,174,0.225,0.11,1.555,0.9643,0.014,0.012,0.900321543,0.77,247.6327735,39.61
0.18,28.89230769,160.5128205,2.24281E+12,7043.076,7.61,6.98,170,174,0.725,0.083,1.103,1.163,0.01,0.02,0.906618314,2.51,354.2751955,73.73
0.18,28.8,160,2.25E+12,7155.252,7.47,7.04,170,168,0.324,0.083,1.141,1.108,0.013,0.013,1.139351446,1.13,317.4111484,30.28
0.16,29.35384615,183.4615385,1.96226E+12,7268.94,7.41,6.98,178,172,0.188,0.106,1.346,1.056,0.012,0.015,0.891530461,0.64,241.049908,50.15
0.19,28.43076923,149.6356275,2.40584E+12,7382.052,7.54,7.03,178,172,0.9,0.108,1.518,1.559,0.012,0.011,0.790513834,3.17,235.7836155,57.93
0.2,29.26153846,146.3076923,2.46057E+12,7496.1,7.76,7.19,170,164,0.32,0.079,1.414,1.415,0.017,0.011,1.202263083,1.09,360.858061,61.88
0.23,29.16923077,126.8227425,2.83861E+12,7609.788,7.67,7.22,166,162,0.715,0.096,1.322,1.083,0.008,0.012,0.605143722,2.45,430.6364359,8.02
0.2,28.89230769,144.4615385,2.49201E+12,7722.972,7.58,7.11,168,162,0.372,0.076,1.581,1.609,0.01,0.008,0.632511069,1.29,326.6271602,63.20
0.23,30.36923077,132.0401338,2.72644E+12,7837.092,7.76,7.18,170,164,0.227,0.096,0.7224,0.9936,0.007,0.008,0.968992248,0.75,291.0796862,28.96
0.21,28.98461538,138.021978,2.60828E+12,7951.356,7.77,7.19,160,166,0.764,0.089,0.9483,1.153,0.006,0.008,0.632711167,2.64,175.2212524,69.78

