TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.08,17.72864322,221.6080402,1.62449E+12,6321.672,7.47,6.89,206,210,0.747,0.068,1.415,1.414,0.015,0.014,1.060070671,0.99009901,277.9139551,6.70
0.08,18.27135678,228.3919598,1.57624E+12,6430.968,7.58,7.14,200,192,0.288,0.071,1.813,1.089,0.015,0.012,0.82735797,1.101928375,402.9884006,69.90
0.08,18.15075377,226.8844221,1.58671E+12,6541.92,7.51,6.75,190,180,0.546,0.097,1.38,1.094,0.018,0.014,1.304347826,1.279707495,318.7277215,42.13
0.09,18.33165829,203.6850921,1.76743E+12,6651.864,7.3,6.64,180,184,0.574,0.067,1.176,0.9405,0.012,0.012,1.020408163,1.275917065,349.008903,84.38
0.09,17.66834171,196.3149079,1.83379E+12,6761.52,7.86,7.19,184,170,0.351,0.074,1.255,1.009,0.017,0.013,1.354581673,1.288404361,306.8785635,59.25
0.09,17.6080402,195.6448911,1.84007E+12,6867.792,7.46,7.06,180,172,0.225,0.076,1.555,0.8575,0.014,0.017,0.900321543,1.982507289,247.6327735,65.95
0.1,18.57286432,185.7286432,1.93831E+12,6977.808,7.61,7,170,178,0.725,0.096,1.103,0.9888,0.01,0.015,0.906618314,1.516990291,354.2751955,4.48
0.11,18.51256281,168.2960256,2.13909E+12,7088.472,7.47,7.08,170,168,0.324,0.062,1.141,0.9137,0.013,0.014,1.139351446,1.532231586,317.4111484,19.75
0.12,19.05527638,158.7939698,2.26709E+12,7199.208,7.41,7.03,178,170,0.188,0.147,1.346,0.992,0.012,0.017,0.891530461,1.713709677,241.049908,69.78
0.14,19.11557789,136.5398421,2.63659E+12,7312.32,7.54,6.98,178,170,0.9,0.079,1.518,1.2,0.012,0.012,0.790513834,1,235.7836155,73.85
0.12,18.99497487,158.2914573,2.27429E+12,7424.568,7.76,7.17,170,166,0.32,0.07,1.414,1.104,0.017,0.011,1.202263083,0.996376812,360.858061,30.40
0.12,18.81407035,156.7839196,2.29615E+12,7537.752,7.67,7.24,166,174,0.715,0.097,1.322,1.059,0.008,0.01,0.605143722,0.944287063,430.6364359,59.36
0.11,18.99497487,172.6815898,2.08476E+12,7649.784,7.58,7.14,168,158,0.372,0.071,1.581,1.634,0.01,0.009,0.632511069,0.550795594,326.6271602,46.08
0.13,19.29648241,148.4344801,2.42531E+12,7763.4,7.76,7.2,170,162,0.227,0.056,0.7224,0.901,0.007,0.007,0.968992248,0.776914539,291.0796862,17.12
0.13,18.63316583,143.3320448,2.51165E+12,7877.088,7.77,7.22,160,162,0.764,0.106,0.9483,0.729,0.006,0.007,0.632711167,0.960219479,175.2212524,64.51

