TMP,Flux,Permeability,Resistance,Filtration volume,pH feed,pH permeate,EC feed,EC permeate,Turbidity feed,Turbidity permeate,DOC feed,DOC permeate,UV254 feed,UV254 permeate,SUVA feed,SUVA permeate,MP feed,MP permeate
0.05,29.4,588.9,6.11E+11,1294.7,7.68,7.71,166,166,0.313,0.126,1.809,0.684,0.023,0.015,1.27,1.06,354.3,212.1
0.05,29.1,581.5,6.19E+11,1406.1,7.34,7.41,180,186,0.226,0.112,0.487,0.519,0.016,0.015,3.29,0.78,288.4,256.9
0.03,28.7,956.9,3.76E+11,1518.2,7.68,7.45,198,180,0.256,0.108,0.695,0.397,0.017,0.013,2.45,0.89,281.9,238.4
0.06,28.6,476.9,7.55E+11,1628.5,7.47,7.33,142,192,0.169,0.059,0.659,0.682,0.015,0.015,2.28,0.59,318.7,64.6
0.07,27.2,389.0,9.25E+11,1738.3,7.76,7.51,246,230,0.200,0.107,0.802,0.596,0.019,0.020,2.37,0.73,277.9,305.6
0.06,27.7,461.5,7.80E+11,1848.1,7.71,7.68,222,214,0.241,0.106,0.663,0.374,0.017,0.014,2.56,0.87,284.5,198.9
0.06,28.2,469.2,7.67E+11,1959.0,7.53,7.52,148,158,0.256,0.097,0.329,0.296,0.015,0.014,4.56,0.91,202.9,191.0
0.06,28.8,480.0,7.50E+11,2067.7,7.45,7.26,184,184,0.266,0.073,0.466,0.201,0.012,0.013,2.58,0.92,77.8,162.1
0.07,27.8,396.9,9.07E+11,2177.2,7.54,7.42,138,132,0.186,0.078,0.408,0.431,0.014,0.011,3.43,0.67,204.2,316.1
0.07,28.6,408.8,8.81E+11,2286.5,7.45,7.25,152,160,0.208,0.080,1.112,1.397,0.012,0.012,1.08,0.73,372.7,484.6
0.07,29.3,418.0,8.61E+11,2398.7,7.54,7.4,174,184,0.193,0.065,1.030,1.788,0.016,0.013,1.55,0.66,329.3,285.8
0.05,27.7,553.8,6.50E+11,2509.5,7.5,7.28,180,182,0.178,0.072,1.165,1.299,0.023,0.017,1.97,0.64,305.6,171.3
0.08,26.0,325.4,1.11E+12,2617.5,7.37,7.17,192,170,0.294,0.082,0.902,0.960,0.015,0.016,1.66,1.13,275.3,109.4
0.09,29.0,322.1,1.12E+12,2731.4,7.62,7.34,178,180,0.343,0.088,1.104,0.933,0.012,0.009,1.09,1.18,177.9,143.9
0.08,30.0,375.0,9.60E+11,2843.1,7.74,7.45,172,160,0.414,0.082,1.199,1.267,0.011,0.082,0.92,1.38,259.5,238.4
0.08,28.8,360.0,1.00E+12,2955.0,7.25,7.32,210,160,0.171,0.079,1.240,1.128,0.011,0.013,0.89,0.59,342.4,247.6
0.06,27.3,455.4,7.91E+11,3064.5,7.26,7.36,164,180,0.267,0.075,1.280,0.988,0.014,0.014,1.09,0.98,331.9,121.2
0.08,29.9,373.8,9.63E+11,3175.2,7.73,7.28,162,174,0.244,0.068,1.090,1.205,0.008,0.007,0.73,0.82,248.9,185.8
0.09,26.5,294.4,1.22E+12,3287.3,7.5,7.3,212,200,0.219,0.111,1.286,0.947,0.012,0.011,0.93,0.83,196.3,231.8
0.11,28.4,258.5,1.39E+12,3401.2,6.84,7.12,170,186,0.310,0.073,1.077,1.195,0.011,0.007,1.02,1.09,195.0,37.0
0.09,27.9,309.7,1.16E+12,3513.0,7.65,7.1,184,184,0.820,0.079,1.560,1.612,0.016,0.011,1.03,2.94,193.7,64.5
0.08,29.6,370.4,9.72E+11,3624.4,7.27,7.11,146,160,0.190,0.075,1.229,1.063,0.012,0.014,0.98,0.64,100.2,130.5
0.09,29.8,331.3,1.09E+12,3737.1,7.22,7.22,164,160,0.207,0.087,1.207,1.088,0.015,0.012,1.24,0.69,117.3,138.4
0.08,26.8,334.6,1.08E+12,3846.1,7.14,7.12,170,152,0.637,0.068,1.230,1.223,0.010,0.007,0.81,2.38,281.9,15.9
0.09,28.3,314.9,1.14E+12,3957.0,6.96,7.15,168,176,0.200,0.075,0.420,0.307,0.009,0.011,2.14,0.71,949.4,64.5
0.12,27.9,232.3,1.55E+12,4068.8,7.16,7.04,198,194,0.168,0.063,0.623,0.743,0.012,0.010,1.93,0.60,248.9,66.0
0.09,28.0,310.8,1.16E+12,4177.5,7.43,7.1,178,192,0.235,0.139,0.363,0.533,0.012,0.011,3.31,0.84,238.4,56.7
0.09,27.8,308.7,1.17E+12,4286.1,7.18,6.72,132,160,0.229,0.080,0.995,1.030,0.011,0.014,1.11,0.82,597.8,81.6
0.08,28.1,350.8,1.03E+12,4395.1,6.9,6.61,142,146,0.190,0.075,1.067,0.924,0.016,0.014,1.50,0.68,248.9,8.0
0.09,28.0,310.8,1.16E+12,4504.2,7.17,6.96,136,142,0.195,0.090,0.952,1.103,0.013,0.015,1.37,0.70,234.5,40.8
0.13,28.1,215.9,1.67E+12,4614.0,7.14,7.02,160,162,0.247,0.065,0.848,0.925,0.014,0.016,1.65,0.88,266.1,44.9
0.11,27.9,253.4,1.42E+12,4722.7,7.24,7.14,146,144,0.143,0.064,1.427,0.731,0.015,0.015,1.05,0.51,156.8,65.8
0.09,27.8,308.7,1.17E+12,4832.8,7.33,6.7,150,144,1.100,0.085,1.177,1.031,0.013,0.015,1.10,3.96,292.4,17.2
0.1,27.8,277.8,1.30E+12,4942.4,7.47,6.84,150,140,1.600,0.144,1.581,0.978,0.015,0.014,0.95,5.76,285.8,67.2
0.1,28.3,283.4,1.27E+12,5052.2,6.92,6.71,126,150,0.205,0.074,1.201,0.980,0.017,0.015,1.42,0.72,223.9,50.2
0.1,28.2,281.5,1.28E+12,5162.4,7.13,6.8,180,168,0.205,0.071,1.489,1.108,0.016,0.013,1.07,0.73,119.9,0.1
0.11,27.8,252.6,1.43E+12,5272.5,7.08,6.65,160,158,0.204,0.082,1.372,1.381,0.014,0.014,1.02,0.73,171.3,31.7
0.11,28.0,254.3,1.42E+12,5383.0,7.24,6.85,136,148,0.221,0.084,1.217,0.991,0.014,0.010,1.15,0.79,245.0,75.2
0.12,28.2,234.6,1.53E+12,5493.6,7.12,6.83,158,150,0.229,0.099,1.689,1.274,0.012,0.011,0.71,0.81,433.3,10.7
0.13,28.2,216.6,1.66E+12,5603.7,7.42,7.13,144,138,0.237,0.086,1.464,1.278,0.015,0.010,1.02,0.84,312.1,64.6
0.13,27.7,213.0,1.69E+12,5713.0,7.22,6.86,138,128,0.386,0.079,1.886,1.171,0.017,0.010,0.90,1.39,234.5,55.4
0.14,28.4,203.1,1.77E+12,5823.1,7.43,6.75,158,142,0.404,0.910,1.404,1.353,0.013,0.012,0.93,1.42,383.2,164.7
0.14,28.1,200.4,1.80E+12,5932.3,7.23,6.88,158,158,0.277,0.092,1.310,1.235,0.012,0.013,0.92,0.99,277.9,76.5
0.15,27.5,183.4,1.96E+12,6041.5,7.1,6.89,166,164,0.275,0.164,1.376,1.279,0.012,0.014,0.87,1.00,363.5,33.0
0.15,28.7,191.4,1.88E+12,6152.4,7.28,6.73,184,180,0.287,0.141,1.959,1.055,0.014,0.015,0.71,1.00,404.3,13.3
0.15,28.6,190.8,1.89E+12,6263.2,7.25,7.04,182,186,0.165,0.082,1.281,1.265,0.015,0.012,1.17,0.58,272.6,77.7
0.16,28.6,178.8,2.01E+12,6374.5,7.47,6.85,206,204,0.747,0.064,1.415,1.227,0.015,0.015,1.06,2.61,277.9,71.1
0.16,28.1,175.4,2.05E+12,6484.8,7.58,7.12,200,192,0.288,0.077,1.813,1.488,0.015,0.012,0.83,1.03,403.0,17.2
0.18,28.8,160.0,2.25E+12,6596.0,7.51,6.74,190,176,0.546,0.080,1.380,1.078,0.018,0.013,1.30,1.90,318.7,35.7
0.18,28.6,159.0,2.26E+12,6708.2,7.3,6.68,180,182,0.574,0.073,1.176,0.844,0.012,0.012,1.02,2.01,349.0,68.8
0.2,28.7,143.5,2.51E+12,6818.9,7.86,7.23,184,162,0.351,0.078,1.255,1.162,0.017,0.013,1.35,1.22,306.9,55.3
0.2,29.1,145.4,2.48E+12,6931.7,7.46,7.03,180,174,0.225,0.110,1.555,0.964,0.014,0.012,0.90,0.77,247.6,39.6
0.18,28.9,160.5,2.24E+12,7043.1,7.61,6.98,170,174,0.725,0.083,1.103,1.163,0.010,0.020,0.91,2.51,354.3,73.7
0.18,28.8,160.0,2.25E+12,7155.3,7.47,7.04,170,168,0.324,0.083,1.141,1.108,0.013,0.013,1.14,1.13,317.4,30.3
0.16,29.4,183.5,1.96E+12,7268.9,7.41,6.98,178,172,0.188,0.106,1.346,1.056,0.012,0.015,0.89,0.64,241.0,50.2
0.19,28.4,149.6,2.41E+12,7382.1,7.54,7.03,178,172,0.900,0.108,1.518,1.559,0.012,0.011,0.79,3.17,235.8,57.9
0.2,29.3,146.3,2.46E+12,7496.1,7.76,7.19,170,164,0.320,0.079,1.414,1.415,0.017,0.011,1.20,1.09,360.9,61.9
0.23,29.2,126.8,2.84E+12,7609.8,7.67,7.22,166,162,0.715,0.096,1.322,1.083,0.008,0.012,0.61,2.45,430.6,8.0
0.2,28.9,144.5,2.49E+12,7723.0,7.58,7.11,168,162,0.372,0.076,1.581,1.609,0.010,0.008,0.63,1.29,326.6,63.2
0.23,30.4,132.0,2.73E+12,7837.1,7.76,7.18,170,164,0.227,0.096,0.722,0.994,0.007,0.008,0.97,0.75,291.1,29.0
0.21,29.0,138.0,2.61E+12,7951.4,7.77,7.19,160,166,0.764,0.089,0.948,1.153,0.006,0.008,0.63,2.64,175.2,69.8

